2017-04-20 19:13:03.453 [main] INFO  io.micheal.debatescout.Main - 2503 tournaments queued from JOT
2017-04-20 19:13:03.471 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Emmett J Conrad Memorial High School Tournament
2017-04-20 19:13:03.916 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Emmett J Conrad Memorial High School Tournament prelims is up to date.
2017-04-20 19:13:03.917 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Foster/George Ranch Swing Tournament
2017-04-20 19:13:04.017 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Lake Travis High School Tournament
2017-04-20 19:13:04.516 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Lake Travis High School Tournament prelims is up to date.
2017-04-20 19:13:04.517 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Burges High School Tournament
2017-04-20 19:13:04.882 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Burges High School Tournament prelims is up to date.
2017-04-20 19:13:04.882 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Clear Brook High School Tournament
2017-04-20 19:13:05.274 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Brook High School Tournament prelims is up to date.
2017-04-20 19:13:05.498 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Brook High School Tournament prelims is up to date.
2017-04-20 19:13:05.499 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Hendrickson High School Tournament
2017-04-20 19:13:05.940 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Hendrickson High School Tournament prelims is up to date.
2017-04-20 19:13:05.941 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Oak Grove High School Tournament
2017-04-20 19:13:06.339 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Oak Grove High School Tournament prelims is up to date.
2017-04-20 19:13:06.590 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Oak Grove High School Tournament prelims is up to date.
2017-04-20 19:13:06.590 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Brandeis Tournament
2017-04-20 19:13:06.949 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Brandeis Tournament prelims is up to date.
2017-04-20 19:13:06.949 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Midway TFA Panther Kick-off Tournament
2017-04-20 19:13:07.288 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Midway TFA Panther Kick-off Tournament prelims is up to date.
2017-04-20 19:13:07.289 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Plano Senior Fall Classic
2017-04-20 19:13:07.648 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Plano Senior Fall Classic prelims is up to date.
2017-04-20 19:13:07.649 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Elkins High School Tournament
2017-04-20 19:13:08.039 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Elkins High School Tournament prelims is up to date.
2017-04-20 19:13:08.264 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Elkins High School Tournament prelims is up to date.
2017-04-20 19:13:08.265 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Grapevine High School Tournament (Grapevine & Cross Timbers Middle)
2017-04-20 19:13:08.365 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 The Woodlands High School Tournament
2017-04-20 19:13:08.739 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 The Woodlands High School Tournament prelims is up to date.
2017-04-20 19:13:08.972 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 The Woodlands High School Tournament prelims is up to date.
2017-04-20 19:13:08.973 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Ysleta High School Tournament
2017-04-20 19:13:09.306 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Ysleta High School Tournament prelims is up to date.
2017-04-20 19:13:09.307 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Carroll High School Tournament (Carroll HS)
2017-04-20 19:13:09.647 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Carroll High School Tournament (Carroll HS) prelims is up to date.
2017-04-20 19:13:09.648 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Holy Trinity 10th Annual Hurricane (Holy Trinity Catholic)
2017-04-20 19:13:09.955 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Holy Trinity 10th Annual Hurricane (Holy Trinity Catholic) prelims is up to date.
2017-04-20 19:13:10.161 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Holy Trinity 10th Annual Hurricane (Holy Trinity Catholic) prelims is up to date.
2017-04-20 19:13:10.161 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 La Vernia High School Tournament
2017-04-20 19:13:10.539 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 La Vernia High School Tournament prelims is up to date.
2017-04-20 19:13:10.539 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 North Lamar/Princeton Panthers Dual
2017-04-20 19:13:10.835 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 North Lamar/Princeton Panthers Dual prelims is up to date.
2017-04-20 19:13:11.031 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 North Lamar/Princeton Panthers Dual prelims is up to date.
2017-04-20 19:13:11.031 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Texas Tech University Tournament
2017-04-20 19:13:11.395 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Texas Tech University Tournament prelims is up to date.
2017-04-20 19:13:11.628 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Texas Tech University Tournament prelims is up to date.
2017-04-20 19:13:11.628 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Coronado Tournament
2017-04-20 19:13:12.018 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Coronado Tournament prelims is up to date.
2017-04-20 19:13:12.018 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Elsik HS TFA Tournament (Elsik Alief)
2017-04-20 19:13:12.336 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Elsik HS TFA Tournament (Elsik Alief) prelims is up to date.
2017-04-20 19:13:12.557 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Elsik HS TFA Tournament (Elsik Alief) prelims is up to date.
2017-04-20 19:13:12.557 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Houston Memorial High School Tournament
2017-04-20 19:13:12.887 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Houston Memorial High School Tournament prelims is up to date.
2017-04-20 19:13:13.083 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Houston Memorial High School Tournament prelims is up to date.
2017-04-20 19:13:13.084 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Parish Episcopal School Tournament
2017-04-20 19:13:13.416 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Parish Episcopal School Tournament prelims is up to date.
2017-04-20 19:13:13.614 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Parish Episcopal School Tournament prelims is up to date.
2017-04-20 19:13:13.614 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Pflugerville High School TFA Tournament
2017-04-20 19:13:13.910 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Pflugerville High School TFA Tournament prelims is up to date.
2017-04-20 19:13:14.111 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Pflugerville High School TFA Tournament prelims is up to date.
2017-04-20 19:13:14.111 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Stennis High School Tournament (Hattiesburg)
2017-04-20 19:13:14.621 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Stennis High School Tournament (Hattiesburg) prelims is up to date.
2017-04-20 19:13:14.621 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 CVFL #1 @ Ponderosa
2017-04-20 19:13:14.967 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 CVFL #1 @ Ponderosa prelims is up to date.
2017-04-20 19:13:15.165 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 CVFL #1 @ Ponderosa prelims is up to date.
2017-04-20 19:13:15.165 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Lovejoy High School Tournament
2017-04-20 19:13:15.505 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Lovejoy High School Tournament prelims is up to date.
2017-04-20 19:13:15.705 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Lovejoy High School Tournament prelims is up to date.
2017-04-20 19:13:15.705 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Mabank Angel Tournament (Mabank HS)
2017-04-20 19:13:16.083 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Mabank Angel Tournament (Mabank HS) prelims is up to date.
2017-04-20 19:13:16.083 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Sandra Day O'Connor High School Tournament (Sandra Day O''Connor)
2017-04-20 19:13:16.376 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Sandra Day O'Connor High School Tournament (Sandra Day O''Connor) prelims is up to date.
2017-04-20 19:13:16.639 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Sandra Day O'Connor High School Tournament (Sandra Day O''Connor) prelims is up to date.
2017-04-20 19:13:16.640 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 SDIVSL #1-A Parli/Public Forum @ Helix Charter School
2017-04-20 19:13:16.734 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 SWSDI Novice @ Horizon (Central)
2017-04-20 19:13:17.131 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 SWSDI Novice @ Horizon (Central) prelims is up to date.
2017-04-20 19:13:17.131 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 WBFL Fall Varsity IE (Culver City)
2017-04-20 19:13:17.225 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Clear Falls High School Tournament
2017-04-20 19:13:17.973 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Falls High School Tournament prelims is up to date.
2017-04-20 19:13:18.206 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Clear Falls High School Tournament prelims is up to date.
2017-04-20 19:13:18.207 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Cypress Woods High School Tournament
2017-04-20 19:13:18.903 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Cypress Woods High School Tournament prelims is up to date.
2017-04-20 19:13:19.158 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Cypress Woods High School Tournament prelims is up to date.
2017-04-20 19:13:19.158 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 LC Anderson Trojan Classic
2017-04-20 19:13:19.511 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 LC Anderson Trojan Classic prelims is up to date.
2017-04-20 19:13:19.708 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 LC Anderson Trojan Classic prelims is up to date.
2017-04-20 19:13:19.708 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Newman Smith High School Tournament
2017-04-20 19:13:19.805 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 NNFL #1 @ Elko
2017-04-20 19:13:20.124 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #1 @ Elko prelims is up to date.
2017-04-20 19:13:20.318 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 NNFL #1 @ Elko prelims is up to date.
2017-04-20 19:13:20.318 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Rice University Classic Swing Tournament (Rice U.)
2017-04-20 19:13:20.414 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Douglas MacArthur High School Tournament
2017-04-20 19:13:20.510 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Flying L Tournament (Ft. Lauderdale HS)
2017-04-20 19:13:21.222 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Flying L Tournament (Ft. Lauderdale HS) prelims is up to date.
2017-04-20 19:13:21.584 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Flying L Tournament (Ft. Lauderdale HS) prelims is up to date.
2017-04-20 19:13:21.584 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 GGSA Congress 1 @ George Washington
2017-04-20 19:13:21.680 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Harlingen South High School Tournament
2017-04-20 19:13:21.979 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Harlingen South High School Tournament prelims is up to date.
2017-04-20 19:13:22.174 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Harlingen South High School Tournament prelims is up to date.
2017-04-20 19:13:22.175 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - Updating 2016 Holy Trinity Journey Year Five (Holy Trinity Catholic)
2017-04-20 19:13:22.510 [pool-3-thread-1] JOT   io.micheal.debatescout.modules.jot.LD - 2016 Holy Trinity Journey Year Five (Holy Trinity Catholic) prelims is up to date.
